ctmmlabel,class,occu,release,count
cc,poor,high,grass,5
cc,poor,low,grass,3573
cc,poor,moderate,grass,19
cc,crop,high,grass,0
cc,crop,low,grass,0
cc,crop,moderate,grass,0
cc,rich,high,grass,0
cc,rich,low,grass,0
cc,rich,moderate,grass,0
cc,edge,high,grass,0
cc,edge,low,grass,0
cc,edge,moderate,grass,0
cd,poor,high,grass,1
cd,poor,low,grass,107457
cd,poor,moderate,grass,0
cd,crop,high,grass,0
cd,crop,low,grass,0
cd,crop,moderate,grass,0
cd,rich,high,grass,0
cd,rich,low,grass,0
cd,rich,moderate,grass,0
cd,edge,high,grass,0
cd,edge,low,grass,0
cd,edge,moderate,grass,0
cu,edge,moderate,grass,0
cu,edge,high,grass,0
cu,edge,low,grass,640
cu,poor,low,grass,5557
cu,poor,moderate,grass,0
cu,poor,high,grass,0
cu,crop,low,grass,0
cu,crop,moderate,grass,0
cu,crop,high,grass,0
cu,rich,high,grass,0
cu,rich,low,grass,0
cu,rich,moderate,grass,0
cv,edge,high,grass,1
cv,edge,low,grass,2332
cv,edge,moderate,grass,6
cv,poor,low,grass,5385
cv,poor,moderate,grass,0
cv,poor,high,grass,0
cv,rich,low,grass,18898
cv,rich,moderate,grass,21
cv,rich,high,grass,0
cv,crop,low,grass,0
cv,crop,moderate,grass,0
cv,crop,high,grass,0
cx,edge,high,grass,0
cx,edge,moderate,grass,0
cx,edge,low,grass,625
cx,rich,low,grass,2157
cx,rich,moderate,grass,0
cx,rich,high,grass,0
cx,crop,low,grass,0
cx,crop,moderate,grass,0
cx,crop,high,grass,0
cx,poor,low,grass,0
cx,poor,moderate,grass,0
cx,poor,high,grass,0
dc,edge,low,grass,951
dc,edge,moderate,grass,0
dc,edge,high,grass,0
dc,poor,high,grass,7
dc,poor,low,grass,10828
dc,poor,moderate,grass,36
dc,rich,high,grass,1
dc,rich,low,grass,3458
dc,rich,moderate,grass,11
dc,crop,low,grass,0
dc,crop,moderate,grass,0
dc,crop,high,grass,0
de,poor,low,grass,33043
de,poor,moderate,grass,0
de,poor,high,grass,0
de,rich,high,grass,0
de,rich,low,grass,0
de,rich,moderate,grass,0
de,crop,low,grass,0
de,crop,moderate,grass,0
de,crop,high,grass,0
de,edge,low,grass,0
de,edge,moderate,grass,0
de,edge,high,grass,0
df,edge,low,grass,90
df,edge,moderate,grass,0
df,edge,high,grass,0
df,poor,low,grass,127
df,poor,moderate,grass,0
df,poor,high,grass,0
df,rich,low,grass,780
df,rich,moderate,grass,0
df,rich,high,grass,0
df,crop,low,grass,0
df,crop,moderate,grass,0
df,crop,high,grass,0
di,poor,high,grass,0
di,poor,moderate,grass,0
di,poor,low,grass,46
di,rich,low,grass,128
di,rich,high,grass,0
di,rich,moderate,grass,0
di,crop,low,grass,0
di,crop,moderate,grass,0
di,crop,high,grass,0
di,edge,low,grass,0
di,edge,moderate,grass,0
di,edge,high,grass,0
dj,poor,high,grass,4
dj,poor,low,grass,15628
dj,poor,moderate,grass,6
dj,rich,low,grass,0
dj,rich,high,grass,0
dj,rich,moderate,grass,0
dj,crop,low,grass,0
dj,crop,moderate,grass,0
dj,crop,high,grass,0
dj,edge,low,grass,0
dj,edge,moderate,grass,0
dj,edge,high,grass,0
dk,edge,high,grass,1
dk,edge,moderate,grass,2
dk,edge,low,grass,5833
dk,poor,high,grass,4
dk,poor,low,grass,444701
dk,poor,moderate,grass,24
dk,rich,low,grass,0
dk,rich,high,grass,0
dk,rich,moderate,grass,0
dk,crop,low,grass,0
dk,crop,moderate,grass,0
dk,crop,high,grass,0
dl,poor,high,grass,541
dl,poor,low,grass,223808
dl,poor,moderate,grass,2594
dl,rich,low,grass,0
dl,rich,high,grass,0
dl,rich,moderate,grass,0
dl,crop,low,grass,0
dl,crop,moderate,grass,0
dl,crop,high,grass,0
dl,edge,high,grass,0
dl,edge,moderate,grass,0
dl,edge,low,grass,0
dm,poor,low,grass,71024
dm,poor,high,grass,0
dm,poor,moderate,grass,0
dm,rich,low,grass,0
dm,rich,high,grass,0
dm,rich,moderate,grass,0
dm,crop,low,grass,0
dm,crop,moderate,grass,0
dm,crop,high,grass,0
dm,edge,high,grass,0
dm,edge,moderate,grass,0
dm,edge,low,grass,0
dn,edge,low,grass,55791
dn,edge,high,grass,0
dn,edge,moderate,grass,0
dn,poor,low,grass,104364
dn,poor,high,grass,0
dn,poor,moderate,grass,0
dn,rich,high,grass,11
dn,rich,low,grass,86893
dn,rich,moderate,grass,62
dn,crop,low,grass,0
dn,crop,moderate,grass,0
dn,crop,high,grass,0
dp,edge,low,grass,353
dp,edge,moderate,grass,2
dp,edge,high,grass,0
dp,poor,low,grass,246
dp,poor,moderate,grass,1
dp,poor,high,grass,0
dp,rich,high,grass,5
dp,rich,low,grass,1313
dp,rich,moderate,grass,7
dp,crop,low,grass,0
dp,crop,moderate,grass,0
