Date,Time,Antenna,Power,Tower,M_ID,Year
8/3/2019,19:27:24,1,67,T2,168,2019
8/3/2019,19:27:25,1,65,T2,168,2019
8/3/2019,19:27:28,2,62,T2,168,2019
8/3/2019,19:27:30,2,62,T2,168,2019
8/3/2019,19:27:33,3,71,T2,168,2019
8/3/2019,19:27:35,3,72,T2,168,2019
8/3/2019,19:27:36,3,71,T2,168,2019
8/3/2019,19:27:46,1,66,T2,168,2019
8/3/2019,19:27:48,1,66,T2,168,2019
8/3/2019,19:27:49,1,66,T2,168,2019
8/3/2019,19:27:52,2,59,T2,168,2019
8/3/2019,19:27:54,2,60,T2,168,2019
8/3/2019,19:27:57,3,71,T2,168,2019
8/3/2019,19:27:59,3,72,T2,168,2019
8/3/2019,19:28:00,3,71,T2,168,2019
8/3/2019,19:28:10,1,66,T2,168,2019
8/3/2019,19:28:12,1,66,T2,168,2019
8/3/2019,19:28:13,1,66,T2,168,2019
8/3/2019,19:28:16,2,62,T2,168,2019
8/3/2019,19:28:18,2,61,T2,168,2019
8/3/2019,19:28:21,3,72,T2,168,2019
8/3/2019,19:28:34,1,65,T2,168,2019
8/3/2019,19:28:36,1,66,T2,168,2019
8/3/2019,19:28:37,1,66,T2,168,2019
8/3/2019,19:28:40,2,60,T2,168,2019
8/3/2019,19:28:42,2,61,T2,168,2019
8/3/2019,19:28:45,3,72,T2,168,2019
8/3/2019,19:28:47,3,72,T2,168,2019
8/3/2019,19:28:48,3,73,T2,168,2019
8/3/2019,19:28:58,1,66,T2,168,2019
8/3/2019,19:29:00,1,65,T2,168,2019
8/3/2019,19:29:01,1,65,T2,168,2019
8/3/2019,19:29:04,2,61,T2,168,2019
8/3/2019,19:29:06,2,61,T2,168,2019
8/3/2019,19:29:09,3,72,T2,168,2019
8/3/2019,19:29:11,3,72,T2,168,2019
8/3/2019,19:29:12,3,71,T2,168,2019
8/3/2019,19:29:22,1,64,T2,168,2019
8/3/2019,19:29:24,1,65,T2,168,2019
8/3/2019,19:29:25,1,66,T2,168,2019
8/3/2019,19:29:28,2,62,T2,168,2019
8/3/2019,19:29:30,2,62,T2,168,2019
8/3/2019,19:29:33,3,72,T2,168,2019
8/3/2019,19:29:35,3,72,T2,168,2019
8/3/2019,19:29:36,3,73,T2,168,2019
8/3/2019,19:29:46,1,66,T2,168,2019
8/3/2019,19:29:48,1,65,T2,168,2019
8/3/2019,19:29:49,1,65,T2,168,2019
8/3/2019,19:29:54,2,63,T2,168,2019
8/3/2019,19:29:57,3,72,T2,168,2019
8/3/2019,19:29:59,3,73,T2,168,2019
8/3/2019,19:30:00,3,72,T2,168,2019
8/3/2019,19:30:10,1,66,T2,168,2019
8/3/2019,19:30:12,1,65,T2,168,2019
8/3/2019,19:30:13,1,65,T2,168,2019
8/3/2019,19:30:16,2,63,T2,168,2019
8/3/2019,19:30:18,2,64,T2,168,2019
8/3/2019,19:30:21,3,72,T2,168,2019
8/3/2019,19:30:23,3,72,T2,168,2019
8/3/2019,19:30:24,3,72,T2,168,2019
8/3/2019,19:30:34,1,65,T2,168,2019
8/3/2019,19:30:36,1,65,T2,168,2019
8/3/2019,19:30:37,1,65,T2,168,2019
8/3/2019,19:30:40,2,63,T2,168,2019
8/3/2019,19:30:42,2,64,T2,168,2019
8/3/2019,19:30:45,3,73,T2,168,2019
8/3/2019,19:30:58,1,65,T2,168,2019
8/3/2019,19:31:00,1,64,T2,168,2019
8/3/2019,19:31:01,1,64,T2,168,2019
8/3/2019,19:31:04,2,64,T2,168,2019
8/3/2019,19:31:06,2,63,T2,168,2019
8/3/2019,19:31:09,3,73,T2,168,2019
8/3/2019,19:31:11,3,72,T2,168,2019
8/3/2019,19:31:12,3,73,T2,168,2019
8/3/2019,19:31:22,1,65,T2,168,2019
8/3/2019,19:31:24,1,64,T2,168,2019
8/3/2019,19:31:25,1,65,T2,168,2019
8/3/2019,19:31:28,2,63,T2,168,2019
8/3/2019,19:31:30,2,63,T2,168,2019
8/3/2019,19:31:33,3,72,T2,168,2019
8/3/2019,19:31:35,3,72,T2,168,2019
8/3/2019,19:31:36,3,72,T2,168,2019
8/3/2019,19:31:46,1,64,T2,168,2019
8/3/2019,19:31:47,1,64,T2,168,2019
8/3/2019,19:31:49,1,64,T2,168,2019
8/3/2019,19:31:52,2,69,T2,168,2019
8/3/2019,19:31:54,2,68,T2,168,2019
8/3/2019,19:31:57,3,78,T2,168,2019
8/3/2019,19:31:59,3,62,T2,168,2019
8/3/2019,19:32:00,3,67,T2,168,2019
8/3/2019,19:32:03,4,60,T2,168,2019
8/3/2019,19:32:05,4,60,T2,168,2019
8/3/2019,19:32:07,4,60,T2,168,2019
8/3/2019,19:32:13,1,55,T2,168,2019
8/3/2019,19:32:23,3,70,T2,168,2019
8/3/2019,19:32:24,3,69,T2,168,2019
8/3/2019,19:54:39,2,63,T2,168,2019
8/3/2019,19:54:40,2,59,T2,168,2019
8/3/2019,19:54:42,2,59,T2,168,2019
8/3/2019,19:54:48,3,67,T2,168,2019
8/3/2019,19:01:15,2,62,T3,168,2019
8/3/2019,19:01:17,2,56,T3,168,2019
8/3/2019,19:01:23,3,61,T3,168,2019
8/3/2019,19:01:38,2,58,T3,168,2019
8/3/2019,19:01:40,2,57,T3,168,2019
8/3/2019,19:01:42,2,59,T3,168,2019
8/3/2019,19:02:59,3,59,T3,168,2019
8/3/2019,19:03:14,2,57,T3,168,2019
8/3/2019,19:03:15,2,57,T3,168,2019
8/3/2019,19:03:42,2,69,T3,168,2019
8/3/2019,19:03:43,2,70,T3,168,2019
